Baths,Beds,HOA,SQFT,cashflow,citystatezip,insurance,mortgage_pmt,price,price_estimate,rent,search_date,street,tax,total_pmt,year_built,zipcode
"3,5",4,,3146,-872.2766666666671,"Burke, VA 22015",131.08333333333334,3217.86,808000.0,,3150.0,28,9516 Holly Prospect Ct ,673.3333333333334,4022.276666666667,1999,22015
"3,5",5,6,2240,-91.46666666666715,"Burke, VA 22015",93.33333333333333,2548.8,640000.0,,3090.0,28,5615 Bakersville Ln ,533.3333333333334,3181.466666666667,1982,22015
2,4,80,1694,-457.6733333333332,"Burke, VA 22015",70.58333333333333,2321.35,582888.0,,2500.0,28,9534 Ashbourn Dr ,485.74,2957.673333333333,1972,22015
"2,5",3,98,1620,-151.67666666666673,"Reston, VA 20190",67.5,1704.51,428000.0,,2075.0,28,1516 Chatham Colony Ct ,356.6666666666667,2226.6766666666667,1972,20190
3,2,222,1425,-0.5150000000001,"Burke, VA 22015",59.375,1413.39,354900.0,,1990.0,28,10364 Bridgetown Pl #115 ,295.75,1990.515,1984,22015
"3,5",3,10,1512,56.68000000000029,"Reston, VA 20190",63.0,1712.07,429900.0,,2200.0,28,1660 Valencia Way ,358.25,2143.3199999999997,1972,20190
1,2,295,1221,,"Burke, VA 22015",50.875,878.78,220660.0,,,28,5937 First Landing Way ,183.88333333333333,1408.5383333333334,1980,22015
6,7,13,5596,-1004.1966666666676,"Reston, VA 20190",160,3974.53,998000.0,,3975.0,28,1726 Dressage Dr ,831.6666666666666,4979.196666666668,1986,20190
"2,5",4,65,2570,-379.65666666666675,"Burke, VA 22015",107.08333333333333,2528.49,634900.0,,2850.0,28,5900 Hollow Oak Ct ,529.0833333333334,3229.6566666666668,1979,22015
"2,5",3,93,2048,-114.00999999999976,"Reston, VA 20190",85.33333333333333,1931.51,485000.0,,2400.0,28,1504 Roundleaf Ct ,404.1666666666667,2514.0099999999998,1970,20190
"2,5",3,81,1408,-206.78666666666686,"Burke, VA 22015",58.666666666666664,1792.12,450000.0,,2100.0,28,5420 Mersea Ct ,375.0,2306.786666666667,1970,22015
"1,5",2,495,918,-296.55666666666684,"Reston, VA 20190",38.25,1334.14,335000.0,,1850.0,28,12000 Taliesin Pl #23 ,279.1666666666667,2146.556666666667,1993,20190
"2,5",4,85,1988,-407.8399999999997,"Burke, VA 22015",82.83333333333333,1935.09,485900.0,,2100.0,28,10038 Wood Sorrels Ln ,404.9166666666667,2507.8399999999997,1980,22015
1,2,457,1174,,"Reston, VA 20190",48.916666666666664,993.63,249500.0,,,28,1670 Parkcrest Cir #200 ,207.91666666666666,1707.4633333333336,1973,20190
"2,5",4,67,1728,-190.90333333333365,"Burke, VA 22015",72.0,2110.32,529900.0,,2500.0,28,10841 Split Oak Ln ,441.5833333333333,2690.9033333333336,1978,22015
"2,5",3,401,1702,-379.82249999999976,"Reston, VA 20190",70.91666666666667,1991.24,499999.0,,2500.0,28,12180 Abington Hall Pl #207 ,416.6658333333333,2879.8224999999998,2000,20190
"3,5",5,76,2208,-538.5999999999999,"Burke, VA 22015",92.0,2787.35,699900.0,,3000.0,28,10866 Burr Oak Way ,583.25,3538.6,1978,22015
"3,5",4,120,4122,-1061.6433333333334,"Reston, VA 20190",160,3683.81,925000.0,,3673.0,28,1316 Dasher Ln ,770.8333333333334,4734.643333333333,1995,20190
"3,5",5,55,3484,-550.8466666666664,"Burke, VA 22015",145.16666666666666,2688.18,675000.0,,2900.0,28,7102 Stanchion Ln ,562.5,3450.8466666666664,1985,22015
"3,5",3,6,2997,159.37249999999995,"Sterling, VA 20164",124.875,1951.42,489999.0,,2650.0,28,320 Silver Ridge Dr ,408.3325,2490.6275,1985,20164
3,3,1403,2136,-2509.08,"Reston, VA 20190",89.0,5555.58,1395000.0,,5701.0,28,11990 Market St #512 ,1162.5,8210.08,2006,20190
"3,5",5,5,3470,-540.5766666666668,"Burke, VA 22015",144.58333333333334,2886.91,724900.0,,3100.0,28,6925 Spanker Dr ,604.0833333333334,3640.576666666667,1985,22015
"3,5",4,73,2382,-26.34333333333325,"Sterling, VA 20164",99.25,1533.26,385000.0,,2000.0,28,21113 Surrey Way ,320.8333333333333,2026.3433333333332,1987,20164
